2,3969,9,2024-07-04 04:34:42.5000000
8,3967,12,2024-07-04 02:05:20.2800000
2,3958,9,2024-07-03 04:34:33.5766667
8,3956,12,2024-07-03 02:03:49.4866667
2,3953,13,2024-07-02 18:35:57.6166667
2,3952,13,2024-07-02 18:15:23.1566667
3,3950,13,2024-07-02 17:53:37.1833333
2,3939,9,2024-07-02 04:33:04.5566667
8,3938,12,2024-07-02 01:04:01.6533333
9,3936,8,2024-07-01 22:10:17.6933333
3,3933,9,2024-07-01 04:33:01.4133333
8,3932,12,2024-07-01 01:03:59.8366667
2,3926,9,2024-06-30 04:33:00.2400000
8,3925,12,2024-06-30 01:03:58.0433333
9,3923,8,2024-06-29 22:10:14.4733333
2,3922,9,2024-06-29 04:32:58.3066667
8,3921,12,2024-06-29 01:04:02.2000000
2,3919,9,2024-06-28 04:33:06.2566667
8,3918,12,2024-06-28 01:04:02.1066667
41,3917,10,2024-06-28 01:32:00.1000000
46,3915,13,2024-06-27 18:27:01.7166667
2,3911,9,2024-06-27 04:32:54.9466667
8,3910,12,2024-06-27 01:04:02.2700000
2,3908,9,2024-06-26 10:38:06.7533333
8,3898,12,2024-06-25 01:04:32.3900000
2,3897,9,2024-06-25 00:33:09.1066667
8,3896,8,2024-06-24 22:10:36.8233333
1,3891,9,2024-06-24 11:59:37.0566667
10,3861,9,2024-06-14 00:34:36.9133333
14,3860,10,2024-06-14 01:35:20.2966667
36,3852,12,2024-06-13 01:04:03.1166667
10,3851,9,2024-06-13 00:35:33.3133333
8,3844,12,2024-06-12 01:04:09.1233333
5,3843,9,2024-06-12 00:33:01.4500000
8,3837,12,2024-06-11 01:04:10.8000000
4,3836,9,2024-06-11 00:33:19.4900000
9,3835,8,2024-06-10 22:10:03.4600000
8,3830,12,2024-06-10 01:04:10.8633333
4,3829,9,2024-06-10 00:33:08.5033333
8,3814,12,2024-06-08 01:03:58.6633333
4,3813,9,2024-06-08 00:32:49.1200000
8,3811,12,2024-06-07 01:03:55.4800000
4,3810,9,2024-06-07 00:34:35.1333333
19,3809,10,2024-06-07 01:28:27.3700000
8,3801,12,2024-06-06 01:03:58.6900000
4,3800,9,2024-06-06 00:32:57.0800000
8,3796,12,2024-06-05 01:03:55.0966667
4,3795,9,2024-06-05 00:32:58.9700000
8,3789,12,2024-06-04 01:05:50.7800000
4,3788,9,2024-06-04 00:33:04.8866667
9,3787,8,2024-06-03 22:10:24.6100000
10,3771,12,2024-06-03 01:04:06.5133333
10,3770,9,2024-06-03 00:33:04.5366667
9,3757,12,2024-06-02 01:04:13.9033333
6,3756,9,2024-06-02 00:32:58.6600000
9,3755,8,2024-06-01 22:10:01.5166667
2,3746,12,2024-06-01 00:42:05.7600000
17,3745,9,2024-06-01 00:38:44.1200000
2,3743,12,2024-05-31 16:46:45.6666667
25,3742,9,2024-05-31 16:46:55.7700000
27,3741,10,2024-05-31 16:47:08.2400000
16,3731,9,2024-05-30 00:33:57.7700000
16,3707,9,2024-05-29 00:33:56.0600000
18,3702,12,2024-05-28 01:03:57.6566667
10,3701,9,2024-05-28 00:33:05.6666667
23,3700,8,2024-05-27 22:10:06.3733333
5,3699,13,2024-05-27 14:16:36.6466667
18,3695,12,2024-05-27 01:04:00.5266667
12,3694,9,2024-05-27 00:33:00.0200000
20,3681,9,2024-05-25 00:32:55.2833333
22,3679,12,2024-05-24 01:04:06.9133333
32,3678,9,2024-05-24 00:34:34.4966667
80,3677,10,2024-05-24 01:58:54.9900000
20,3674,12,2024-05-23 01:03:53.8100000
38,3673,9,2024-05-23 00:32:52.0333333
20,3661,12,2024-05-22 01:03:56.0500000
18,3660,9,2024-05-22 00:32:51.8833333
44,3658,8,2024-05-21 16:54:54.9800000
139,3644,13,2024-05-20 18:26:25.1833333
18,3641,9,2024-05-20 00:32:53.4933333
20,3639,12,2024-05-19 19:28:53.7100000
20,3635,12,2024-05-19 01:03:58.3000000
10,3634,9,2024-05-19 00:32:53.6100000
19,3633,8,2024-05-18 22:13:01.9500000
10,3631,9,2024-05-18 17:06:26.9566667
10,3628,9,2024-05-17 00:34:29.2033333
61,3627,10,2024-05-17 01:24:18.5466667
31,3620,12,2024-05-16 01:03:51.0700000
9,3619,9,2024-05-16 00:32:51.6100000
18,3612,12,2024-05-15 01:03:53.6800000
10,3611,9,2024-05-15 00:32:54.9933333
19,3602,12,2024-05-14 01:03:56.6066667
10,3601,9,2024-05-14 00:32:54.4466667
18,3600,8,2024-05-13 22:09:42.2466667
18,3591,12,2024-05-13 01:03:57.2033333
10,3590,9,2024-05-13 00:32:47.5933333
21,3582,9,2024-05-12 00:32:49.7900000
21,3581,8,2024-05-11 22:09:38.5166667
15,3578,9,2024-05-11 00:32:46.5033333
14,3576,9,2024-05-10 00:34:19.8500000
39,3569,12,2024-05-09 01:04:00.0566667
14,3568,9,2024-05-09 00:32:50.7333333
14,3563,9,2024-05-08 00:32:53.4366667
39,3555,12,2024-05-07 01:03:59.4366667
14,3554,9,2024-05-07 00:32:58.6566667
20,3553,8,2024-05-06 22:09:54.2633333
17,3541,9,2024-05-06 11:29:37.8700000
15,3526,9,2024-05-05 00:32:47.9033333
17,3525,8,2024-05-04 22:09:54.8133333
15,3523,9,2024-05-04 00:32:56.5900000
40,3521,12,2024-05-03 01:04:10.6800000
15,3520,9,2024-05-03 00:34:04.8666667
17,3503,12,2024-05-02 01:04:11.6966667
11,3502,9,2024-05-02 00:32:59.7166667
11,3484,9,2024-05-01 00:32:51.1333333
18,3467,12,2024-04-30 01:03:53.3700000
12,3466,9,2024-04-30 00:32:55.1733333
17,3465,8,2024-04-29 22:09:46.6366667
17,3460,12,2024-04-29 01:03:52.5033333
10,3459,9,2024-04-29 00:32:48.2933333
15,3447,8,2024-04-29 11:10:47.4300000
6,3443,9,2024-04-28 00:32:50.9100000
37,3442,8,2024-04-27 22:09:46.9766667
13,3439,12,2024-04-27 01:04:52.3566667
7,3438,9,2024-04-27 00:32:57.4500000
12,3436,12,2024-04-26 01:04:09.5700000
6,3435,9,2024-04-26 00:34:29.1366667
25,3434,10,2024-04-26 01:30:39.2066667
12,3424,12,2024-04-25 01:03:56.8200000
8,3423,9,2024-04-25 00:32:43.7700000
12,3406,12,2024-04-24 01:03:51.7066667
10,3405,9,2024-04-24 00:32:48.0133333
12,3393,12,2024-04-23 01:03:50.7100000
10,3392,9,2024-04-23 00:33:28.0100000
10,3391,8,2024-04-22 22:09:47.1466667
6,3389,13,2024-04-22 18:17:23.6100000
12,3383,12,2024-04-22 01:03:48.5500000
12,3382,9,2024-04-22 00:32:46.7966667
13,3372,12,2024-04-21 01:03:47.4100000
10,3371,9,2024-04-21 00:32:49.7533333
11,3370,8,2024-04-21 00:25:10.4666667
13,3363,12,2024-04-18 01:04:02.2366667
10,3362,9,2024-04-18 00:32:54.4600000
13,3357,12,2024-04-17 01:04:01.8000000
9,3356,9,2024-04-17 00:32:56.0533333
12,3344,12,2024-04-15 01:03:56.2866667
13,3343,9,2024-04-15 00:32:52.2600000
7,3342,13,2024-04-14 16:40:15.8333333
17,3333,12,2024-04-14 01:03:58.0000000
11,3332,9,2024-04-14 00:32:54.4666667
32,3331,8,2024-04-13 22:09:51.4666667
12,3322,12,2024-04-13 01:03:51.0133333
11,3321,9,2024-04-13 00:32:51.0266667
113,3317,9,2023-12-29 00:32:30.1866667
12,3312,12,2024-04-11 01:03:56.4533333
17,3311,9,2024-04-11 00:32:50.7433333
12,3309,12,2024-04-10 01:03:54.7266667
9,3308,9,2024-04-10 00:32:51.3300000
12,3306,12,2024-04-09 01:03:59.4233333
12,3305,9,2024-04-09 00:32:58.4300000
11,3303,8,2024-04-08 22:11:15.2466667
13,3301,12,2024-04-08 01:03:51.0666667
11,3300,9,2024-04-08 00:32:54.2000000
12,3296,12,2024-04-07 01:03:47.3800000
11,3295,9,2024-04-07 00:32:50.9200000
11,3294,8,2024-04-06 22:09:53.9500000
13,3287,12,2024-04-06 01:03:52.4933333
10,3286,9,2024-04-06 00:33:01.6900000
14,3284,12,2024-04-05 01:03:52.2800000
15,3283,9,2024-04-05 00:32:55.2466667
42,3282,10,2024-04-05 00:22:16.5966667
4,3271,13,2024-04-04 13:10:43.3933333
13,3269,12,2024-04-04 01:04:17.4700000
11,3268,9,2024-04-04 00:33:11.9900000
4,3267,13,2024-04-03 16:15:46.5366667
13,3256,12,2024-04-03 01:04:04.2600000
10,3255,9,2024-04-03 00:33:11.4966667
13,3243,12,2024-04-02 01:03:48.0500000
13,3242,9,2024-04-02 00:32:52.1933333
12,3241,8,2024-04-01 22:09:45.3200000
11,3232,12,2024-04-01 01:03:08.5233333
13,3231,9,2024-04-01 00:32:52.1033333
9,3217,12,2024-03-31 01:02:59.5600000
8,3216,9,2024-03-31 00:32:39.3366667
9,3215,8,2024-03-30 22:09:27.5533333
10,3213,12,2024-03-30 01:09:30.7800000
8,3212,9,2024-03-30 00:32:47.6200000
10,3210,12,2024-03-29 01:06:17.8600000
13,3209,9,2024-03-29 00:34:55.7500000
37,3208,10,2024-03-29 00:26:17.8333333
9,3200,12,2024-03-28 01:06:34.0733333
13,3199,9,2024-03-28 00:35:27.9133333
9,3183,12,2024-03-27 01:06:00.2866667
13,3182,9,2024-03-27 00:37:47.4633333
7,3173,9,2023-12-04 00:32:36.4633333
9,3170,12,2024-03-26 01:06:49.3800000
11,3169,9,2024-03-26 00:35:15.5600000
12,3168,8,2024-03-25 22:19:29.0400000
9,3149,12,2024-03-25 01:05:49.8500000
19,3148,9,2024-03-25 00:35:31.3533333
20,3146,13,2024-03-24 16:02:13.3366667
12,3142,12,2024-03-24 01:06:37.3466667
12,3141,9,2024-03-24 00:34:58.4533333
16,3140,8,2024-03-23 22:19:03.5400000
13,3138,9,2024-03-23 00:35:34.9000000
28,3136,12,2024-03-22 01:07:02.2166667
15,3135,9,2024-03-22 00:36:54.5500000
50,3134,10,2024-03-22 01:38:20.9366667
18,3130,9,2024-03-21 00:34:52.9566667
37,3125,12,2024-03-20 01:58:33.5600000
12,3124,9,2024-03-20 00:38:13.0600000
16,3120,8,2024-03-19 13:05:56.9100000
11,3119,9,2024-03-19 12:50:18.1833333
33,3113,12,2024-03-18 01:55:58.1333333
9,3112,9,2024-03-18 00:34:14.9666667
20,3108,8,2024-03-17 11:45:02.9966667
19,3106,12,2024-03-17 01:52:48.7833333
